month,S&P 500,S&P 500 TR,Nikkei 225,Nikkei 225 TR
,https://www.investing.com/indices/us-spx-500-historical-data,https://www.investing.com/indices/s-p-500-tr-historical-data,,
08-Feb,"1,330.63","2,097.48","13,603.02","17,602.98"
08-Jan,"1,378.55","2,167.90","13,592.47","17,582.81"
07-Dec,"1,468.36","2,306.23","15,307.78","19,800.56"
07-Nov,"1,481.14","2,322.34","15,680.67","20,265.70"
07-Oct,"1,549.38","2,423.67","16,737.63","21,629.04"
07-Sep,"1,526.75","2,385.72","16,785.69","21,688.86"
07-Aug,"1,473.99","2,299.71","16,569.09","21,309.48"
07-Jul,"1,455.27","2,265.75","17,248.89","22,177.69"
07-Jun,"1,503.35","2,338.25","18,138.36","23,320.61"
07-May,"1,530.62","2,377.75","17,875.75","22,960.40"
07-Apr,"1,482.37","2,297.57","17,400.41","22,349.20"
07-Mar,"1,420.86","2,200.12","17,287.65","22,204.37"
07-Feb,"1,406.82","2,175.78","17,604.12","22,495.55"
07-Jan,"1,438.24","2,219.19","17,383.42","22,207.55"
06-Dec,"1,418.30","2,186.13","17,225.83","22,005.60"
06-Nov,"1,400.63","2,155.89","16,274.33","20,776.68"
06-Oct,"1,377.94","2,115.65","16,399.39","20,933.91"
06-Sep,"1,335.85","2,048.89","16,127.58","20,586.98"
06-Aug,"1,303.82","1,997.42","16,140.76","20,520.16"
06-Jul,"1,276.66","1,950.99","15,456.81","19,645.73"
06-Jun,"1,270.20","1,939.03","15,505.18","19,706.67"
06-May,"1,270.09","1,936.41","15,467.33","19,641.84"
06-Apr,"1,310.61","1,993.79","16,906.23","21,468.31"
06-Mar,"1,294.83","1,967.38","17,059.66","21,663.14"
06-Feb,"1,280.66","1,943.19","16,205.43","20,483.66"
06-Jan,"1,280.08","1,937.93","16,649.82","21,039.10"
05-Dec,"1,248.29","1,887.94","16,111.43","20,357.98"
05-Nov,"1,249.48","1,887.28","14,872.15","18,782.51"
05-Oct,"1,207.01","1,818.50","13,606.50","17,182.94"
05-Sep,"1,228.81","1,849.33","13,574.30","17,140.27"
05-Aug,"1,220.33","1,834.48","12,413.60","15,619.78"
05-Jul,"1,234.18","1,851.37","11,899.60","14,969.24"
05-Jun,"1,191.33","1,784.99","11,584.01","14,571.74"
05-May,"1,191.50","1,782.46","11,276.59","14,170.84"
05-Apr,"1,156.85","1,727.49","11,008.90","13,834.11"
05-Mar,"1,180.59",,"11,668.95","14,663.55"
05-Feb,"1,203.60",,"11,740.60","14,677.44"
05-Jan,"1,181.27",,"11,387.59","14,233.18"
04-Dec,"1,211.92",,"11,488.76","14,358.89"
04-Nov,"1,173.82",,"10,899.25","13,616.36"
04-Oct,"1,130.20",,"10,771.42","13,455.08"
04-Sep,"1,114.58",,"10,823.57","13,519.22"
04-Aug,"1,104.24",,"11,081.79","13,793.56"
04-Jul,"1,101.72",,"11,325.78","14,095.04"
04-Jun,"1,140.84",,"11,858.87","14,757.94"
04-May,"1,120.68",,"11,236.37","13,974.43"
04-Apr,"1,107.30",,"11,761.79","14,627.09"
04-Mar,"1,126.21",,"11,715.39","14,569.38"
04-Feb,"1,144.94",,"11,041.92","13,674.47"
04-Jan,"1,131.13",,"10,783.61","13,351.03"
03-Dec,"1,111.92",,"10,676.64","13,217.98"
03-Nov,"1,058.20",,"10,100.57","12,499.69"
03-Oct,"1,050.71",,"10,559.59","13,066.36"
03-Sep,995.97,,"10,219.05","12,644.35"
03-Aug,"1,008.01",,"10,343.55","12,759.82"
